House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
33,Scepter Extension,Billy,Hammond-Dixon,35,Son,Single,Male,Materials engineer,None,Christian
33,Scepter Extension,Diane,Hammond-Dixon,32,Daughter,Single,Female,Clinical biochemist,None,None
33,Scepter Extension,Mohammed,Hammond-Dixon,27,Son,Single,Male,Building surveyor,None,None
33,Scepter Extension,Denise,Hammond-Dixon,27,Daughter,Divorced,Female,Music therapist,None,None
33,Scepter Extension,Andrea,Hammond-Dixon,23,Daughter,Divorced,Female,Research scientist (medical),None,Christian
33,Scepter Extension,Lynda,Hammond-Dixon,21,Daughter,Single,Female,University Student,None,Christian
33,Scepter Extension,Geraldine,Hammond-Dixon,13,Daughter,NA,Female,Student,None,NA
34,Scepter Extension,Shannon,Birch,31,Head,Single,Female,Youth worker,None,None
34,Scepter Extension,Lee,Banks,37,Partner,Single,Male,"Teacher, music",None,None
34,Scepter Extension,Henry,Birch,1,Son,NA,Male,Child,None,NA
34,Scepter Extension,Steven,Davis,1,Son,NA,Male,Child,None,NA
35,Scepter Extension,Marie,Matthews,47,Head,Married,Female,Office manager,None,None
35,Scepter Extension,James,Matthews,50,Husband,Married,Male,Special educational needs teacher,None,None
35,Scepter Extension,Ruth,Matthews,11,Daughter,NA,Female,Student,None,NA
35,Scepter Extension,Helen,Matthews,9,Daughter,NA,Female,Student,None,NA
36,Scepter Extension,Glen,Riley,41,Head,Single,Male,Unemployed,None,None
36,Scepter Extension,Catherine,O'Brien,39,None,Single,Female,"Scientist, research (physical sciences)",None,Christian
36,Scepter Extension,Chelsea,Sanderson,18,None,Single,Female,Student,None,NA
36,Scepter Extension,William,Smith,64,None,Single,Male,Toxicologist,None,None
36,Scepter Extension,Callum,Robinson,32,None,Single,Male,Acupuncturist,None,None
37,Scepter Extension,Gary,Bond,57,Head,Single,Male,Insurance risk surveyor,None,Christian
37,Scepter Extension,Martin,Fox,44,None,Single,Male,Financial trader,None,Christian
37,Scepter Extension,Billy,Palmer,36,None,Single,Male,Unemployed,None,Methodist
37,Scepter Extension,Brian,Vaughan,54,None,Single,Male,"Psychologist, clinical",None,None
37,Scepter Extension,Nicola,Armstrong,33,None,Single,Female,Exhibition designer,None,None
38,Scepter Extension,Lucy,Bray,38,Head,Married,Female,Amenity horticulturist,None,None
38,Scepter Extension,Joseph,Bray,40,Husband,Married,Male,Accommodation manager,None,None
38,Scepter Extension,Shirley,Bray,8,Daughter,NA,Female,Student,Unknown Infection,NA
38,Scepter Extension,Max,Taylor-Bray,3,Son,NA,Male,Child,None,NA
38,Scepter Extension,Jamie,Brown,54,Lodger,Single,Male,Not employed,None,None
39,Scepter Extension,Louise,Walton,39,Head,Married,Female,"Engineer, production",None,None
39,Scepter Extension,Arthur,Walton,41,Husband,Married,Male,"Accountant, chartered public finance",None,None
39,Scepter Extension,Billy,Walton,7,Son,NA,Male,Student,None,NA
39,Scepter Extension,Joanna,Walton,5,Daughter,NA,Female,Student,None,NA
39,Scepter Extension,Andrea,Walton,3,Daughter,NA,Female,Child,None,NA
1,Cellarpush Avenue,Conor,Woods,26,Head,Divorced,Male,Unemployed,None,Catholic
1,Cellarpush Avenue,Jacqueline,Woods,6,Daughter,NA,Female,Student,None,NA
2,Cellarpush Avenue,Donna,Giles,71,Head,Divorced,Female,Retired Oceanographer,None,Christian
3,Cellarpush Avenue,Melanie,Allen,49,Head,Married,Female,"Designer, ceramics/pottery",None,Catholic
3,Cellarpush Avenue,Rhys,Allen,54,Husband,Married,Male,Occupational psychologist,None,None
3,Cellarpush Avenue,Dorothy,Allen,14,Daughter,NA,Female,Student,None,NA
4,Cellarpush Avenue,Sandra,Reeves,66,Head,Divorced,Female,Advertising art director,None,Christian
5,Cellarpush Avenue,Nicholas,Horton,57,Head,Single,Male,Public affairs consultant,None,Catholic
6,Cellarpush Avenue,Sara,Smart,34,Head,Single,Female,"Journalist, magazine",None,None
7,Cellarpush Avenue,Barry,Brennan,47,Head,Married,Male,Microbiologist,None,Catholic
7,Cellarpush Avenue,Andrea,Brennan,44,Wife,Married,Female,Camera operator,None,Christian
7,Cellarpush Avenue,Rita,Brennan,3,Daughter,NA,Female,Child,None,NA
8,Cellarpush Avenue,Graeme,Ball,43,Head,Single,Male,"Therapist, nutritional",None,Catholic
9,Cellarpush Avenue,Kathleen,Whittaker,89,Head,Single,Female,Retired Call centre manager,None,None
10,Cellarpush Avenue,Judith,Bennett,29,Head,Single,Female,Artist,None,None
10,Cellarpush Avenue,Lucy,Perry,49,None,Single,Female,"Lighting technician, broadcasting/film/video",None,None
11,Cellarpush Avenue,Hugh,Hughes,37,Head,Single,Male,Tree surgeon,None,None
12,Cellarpush Avenue,Mary,Baker,58,Head,Single,Female,"Engineer, technical sales",None,None
13,Cellarpush Avenue,Carolyn,Smith,35,Head,Single,Female,"Engineer, civil (consulting)",None,Muslim
14,Cellarpush Avenue,Adam,Griffiths,70,Head,Widowed,Male,Retired English as a foreign language teacher,None,Methodist
15,Cellarpush Avenue,Chelsea,Brooks,69,Head,Divorced,Female,"Retired Engineer, land",None,Christian
16,Cellarpush Avenue,Marilyn,Taylor,63,Head,Married,Female,"Teacher, English as a foreign language",None,None
16,Cellarpush Avenue,Denis,Taylor,65,Husband,Married,Male,Unemployed,None,None
16,Cellarpush Avenue,Alex,Taylor,38,Son,Single,Male,Contractor,None,None
17,Cellarpush Avenue,Roger,Carter,56,Head,Divorced,Male,"Engineer, chemical",None,None
18,Cellarpush Avenue,Garry,Richardson,65,Head,Married,Male,Housing manager/officer,None,None
18,Cellarpush Avenue,Jacqueline,Richardson,63,Wife,Married,Female,Adult nurse,None,None
19,Cellarpush Avenue,Sheila,Clark,82,Head,Widowed,Female,Retired Analytical chemist,None,None
20,Cellarpush Avenue,Sean,Reed,59,Head,Single,Male,Dietitian,None,None
21,Cellarpush Avenue,Gillian,West,75,Head,Widowed,Female,"Retired Optician, dispensing",None,Christian
22,Cellarpush Avenue,Debra,Jones,30,Head,Single,Female,Comptroller,None,Catholic
23,Cellarpush Avenue,Max,Davies,57,Head,Divorced,Male,Ranger/warden,None,None
24,Cellarpush Avenue,Julian,Morgan,81,Head,Widowed,Male,Retired Planning and development surveyor,None,Bahai
1,Grape Lane,Darren,Farrell,42,Head,Widowed,Male,Aid worker,None,Christian
2,Grape Lane,Barbara,Payne,34,Head,Married,Female,"Engineer, materials",None,None
2,Grape Lane,Adrian,Payne,33,Husband,Married,Male,Technical author,None,None
2,Grape Lane,Abdul,Payne,17,Son,NA,Male,Student,None,NA
3,Grape Lane,Jasmine,Atkinson,20,Head,Single,Female,Unemployed,None,None
4,Grape Lane,Aaron,Sanderson,57,Head,Single,Male,"Surveyor, quantity",None,Christian
5,Grape Lane,Bethan,Randall,43,Head,Married,Female,Unemployed,None,Christian
5,Grape Lane,Mohammad,Randall,45,Husband,Married,Male,"Engineer, materials",None,Christian
5,Grape Lane,Brenda,Randall,9,Daughter,NA,Female,Student,None,NA
6,Grape Lane,Melanie,Wright,45,Head,Single,Female,Comptroller,None,None
7,Grape Lane,Abigail,Peters,42,Head,Single,Female,Location manager,None,Catholic
8,Grape Lane,Mohammad,Morris,46,Head,Single,Male,"Designer, exhibition/display",None,Catholic
9,Grape Lane,Adam,Wood,56,Head,Single,Male,Adult nurse,None,None
10,Grape Lane,Anthony,Shaw,41,Head,Single,Male,Osteopath,None,Catholic
11,Grape Lane,Samantha,Lewis,50,Head,Single,Female,"Teacher, secondary school",None,None
12,Grape Lane,Katherine,Harrison,31,Head,Single,Female,"Engineer, technical sales",None,Catholic
12,Grape Lane,Bradley,Harrison,11,Son,NA,Male,Student,None,NA
12,Grape Lane,Tom,Harrison,9,Son,NA,Male,Student,None,NA
13,Grape Lane,Megan,Murray,59,Head,Single,Female,Social researcher,None,Christian
14,Grape Lane,Cameron,Howard,49,Head,Divorced,Male,Maintenance engineer,None,Christian
15,Grape Lane,Jemma,Spencer,64,Head,Divorced,Female,Television camera operator,None,Christian
15,Grape Lane,Georgia,Spencer,26,Daughter,Single,Female,"Surveyor, commercial/residential",None,Christian
15,Grape Lane,Tracy,Spencer,25,Daughter,Single,Female,Unemployed,None,Christian
16,Grape Lane,Shirley,Adams,27,Head,Single,Female,Freight forwarder,None,Sikh
17,Grape Lane,Oliver,Shepherd,34,Head,Divorced,Male,Volunteer coordinator,None,Catholic
18,Grape Lane,Bethan,Bennett,76,Head,Widowed,Female,"Retired Engineer, control and instrumentation",None,Christian
19,Grape Lane,Louis,Herbert,24,Head,Single,Male,Risk analyst,None,None
20,Grape Lane,Lucy,Woods,27,Head,Married,Female,Unemployed,None,None
20,Grape Lane,Brett,Woods,27,Husband,Married,Male,Senior tax professional/tax inspector,None,None
20,Grape Lane,Shane,Woods,2,Son,NA,Male,Child,None,NA
20,Grape Lane,Reece,Woods,0,Son,NA,Male,Child,None,NA
21,Grape Lane,Amy,Richards,59,Head,Single,Female,"Accountant, chartered certified",None,Christian
21,Grape Lane,Stuart,Richards,23,Son,Single,Male,"Surveyor, building control",None,None
22,Grape Lane,Nigel,Holland,32,Head,Single,Male,Chartered public finance accountant,None,Methodist
22,Grape Lane,Bryan,Holland,47,Cousin,Divorced,Male,Unemployed,None,Methodist
1,Windy Drive,Sara,Khan,38,Head,Single,Female,"Civil engineer, contracting",None,Methodist
1,Windy Drive,Toby,Khan,13,Son,NA,Male,Student,None,NA
1,Windy Drive,Sarah,Khan,12,Daughter,NA,Female,Student,None,NA
2,Windy Drive,Mary,Long,50,Head,Single,Female,Research scientist (physical sciences),None,None
3,Windy Drive,Ruth,Hobbs,63,Head,Single,Female,Music tutor,None,Sikh
4,Windy Drive,Raymond,Wilkins,27,Head,Single,Male,"Scientist, marine",None,Methodist
5,Windy Drive,Keith,Patel,57,Head,Single,Male,Tax adviser,None,Catholic
6,Windy Drive,Elliott,Ward,74,Head,Divorced,Male,Retired Medical secretary,None,Christian
7,Windy Drive,Dorothy,Davies,99,Head,Widowed,Female,Retired Chartered loss adjuster,None,Christian
8,Windy Drive,Elaine,Jones,27,Head,Married,Female,Unemployed,None,None
8,Windy Drive,Stewart,Jones,30,Husband,Married,Male,Freight forwarder,None,None
8,Windy Drive,Fiona,Jones,3,Daughter,NA,Female,Child,None,NA
9,Windy Drive,Maureen,Brown,46,Head,Divorced,Female,Professor Emeritus,None,Catholic
10,Windy Drive,Jayne,King,32,Head,Married,Female,"Nurse, children's",None,Christian
10,Windy Drive,Dennis,King,33,Husband,Married,Male,Set designer,None,Christian
10,Windy Drive,Scott,King,9,Son,NA,Male,Student,None,NA
11,Windy Drive,Trevor,Harvey,64,Head,Divorced,Male,Water quality scientist,None,None
12,Windy Drive,Joanne,Atkinson,58,Head,Single,Female,Press photographer,None,None
13,Windy Drive,Eileen,Barton,55,Head,Divorced,Female,Medical technical officer,None,Christian
14,Windy Drive,Frank,Akhtar,55,Head,Single,Male,Psychotherapist,None,Methodist
15,Windy Drive,Josephine,Davidson,55,Head,Married,Female,Product/process development scientist,None,Christian
15,Windy Drive,Howard,Davidson,54,Husband,Married,Male,Artist,None,Christian
15,Windy Drive,Ruth,Davidson,24,Daughter,Single,Female,Herpetologist,None,Christian
16,Windy Drive,Michelle,Rowe,35,Head,Single,Female,Unemployed,None,None
17,Windy Drive,Bernard,Williams,71,Head,Widowed,Male,Retired Medical sales representative,None,None
18,Windy Drive,Sheila,Barnes,51,Head,Divorced,Female,"Civil engineer, consulting",None,Christian
19,Windy Drive,Christopher,Bell,69,Head,Widowed,Male,Retired Materials engineer,None,Christian
20,Windy Drive,Lydia,Cooper,46,Head,Divorced,Female,"Pharmacist, hospital",None,Christian
21,Windy Drive,Anthony,Wilson-Knight,60,Head,Married,Male,"Designer, furniture",None,None
21,Windy Drive,Amber,Wilson-Knight,58,Wife,Married,Female,"Research officer, political party",None,None
22,Windy Drive,Clive,Reed,48,Head,Married,Male,Clinical biochemist,None,Christian
22,Windy Drive,Louise,Reed,42,Wife,Married,Female,"Development worker, community",None,None
23,Windy Drive,Kevin,Allen,43,Head,Divorced,Male,"Engineer, manufacturing",None,Catholic
24,Windy Drive,Barry,Jackson,71,Head,Widowed,Male,Retired Personal assistant,None,Methodist
25,Windy Drive,Annette,Clark,30,Head,Married,Female,Advertising account executive,None,None
25,Windy Drive,Luke,Clark,30,Husband,Married,Male,"Journalist, newspaper",None,None
25,Windy Drive,Sarah,Clark,1,Daughter,NA,Female,Child,None,NA
26,Windy Drive,Max,Holmes,72,Head,Divorced,Male,Retired Food technologist,None,None
27,Windy Drive,Dominic,Atkins,56,Head,Divorced,Male,Herbalist,None,Methodist
28,Windy Drive,Teresa,Stone,47,Head,Divorced,Female,"Scientist, forensic",None,Methodist
28,Windy Drive,Jessica,Stone,15,Daughter,NA,Female,Student,None,NA
29,Windy Drive,Jodie,Perry,70,Head,Widowed,Female,Retired Applications developer,None,Christian
30,Windy Drive,Carol,Bailey,74,Head,Married,Female,Retired International aid/development worker,None,Christian
30,Windy Drive,Timothy,Bailey,79,Husband,Married,Male,Retired Science writer,None,Christian
31,Windy Drive,Natalie,Ingram,83,Head,Widowed,Female,"Retired Education officer, museum",None,Christian
32,Windy Drive,Kerry,Phillips,54,Head,Married,Female,"Designer, graphic",None,Christian
32,Windy Drive,Elliot,Phillips,56,Husband,Married,Male,Acupuncturist,None,None
32,Windy Drive,Jill,Phillips,16,Daughter,NA,Female,Student,None,NA
1,Austin Divide,Vincent,Johnson,30,Head,Married,Male,Unemployed,None,None
1,Austin Divide,Valerie,Johnson,29,Wife,Married,Female,Interpreter,None,None
2,Austin Divide,Leslie,Hewitt,26,Head,Single,Male,Unemployed,None,None
3,Austin Divide,Bryan,Stevenson,68,Head,Widowed,Male,Unemployed,None,None
3,Austin Divide,Hazel,Stevenson,44,Daughter,Single,Female,Armed forces logistics/support/administrative officer,None,None
4,Austin Divide,Danielle,Warren,60,Head,Single,Female,Computer games developer,None,Catholic
5,Austin Divide,Jennifer,Butler,38,Head,Divorced,Female,"Designer, multimedia",None,None
5,Austin Divide,Jay,Butler,16,Son,NA,Male,Student,None,NA
6,Austin Divide,Christine,Lynch,53,Head,Divorced,Female,Travel agency manager,None,Methodist
7,Austin Divide,Andrew,Davies-Higgins,49,Head,Married,Male,Tree surgeon, ,None
7,Austin Divide,Rebecca,Davies-Higgins,52,Wife,Married,Female,Patent examiner,None,None
8,Austin Divide,Justin,Allen,59,Head,Single,Male,"Teacher, special educational needs",None,Methodist
9,Austin Divide,Alex,Smith,41,Head,Single,Male,Podiatrist,None,Catholic
9,Austin Divide,Olivia,Webb,43,Partner,Single,Female,Paramedic,None,Catholic
10,Austin Divide,Robert,Lane,50,Head,Single,Male,Professor Emeritus,None,Christian
10,Austin Divide,Beth,Akhtar,42,Partner,Single,Female,Retail buyer,None,Christian
11,Austin Divide,Lorraine,Morton,53,Head,Single,Female,Health visitor,None,None
12,Austin Divide,Barry,Jones,46,Head,Single,Male,Purchasing manager,None,Christian
13,Austin Divide,Martyn,Palmer,46,Head,Single,Male,"Programmer, systems",None,Christian
14,Austin Divide,Adam,Carpenter,45,Head,Single,Male,Optometrist,None,Christian
15,Austin Divide,David,Shaw,89,Head,Widowed,Male,Retired Patent examiner,None,Christian
16,Austin Divide,Irene,Davies,74,Head,Widowed,Female,Retired Civil Service fast streamer,None,None
16,Austin Divide,Christine,Davies,36,Daughter,Divorced,Female,Unemployed,None,None
17,Austin Divide,Judith,Fisher,66,Head,Single,Female,Editorial assistant,None,None
18,Austin Divide,Guy,Hall,29,Head,Single,Male,"Producer, radio",None,None
18,Austin Divide,Alexander,O'Donnell,42,None,Single,Male,Radiation protection practitioner,None,None
18,Austin Divide,Timothy,Lewis,25,None,Single,Male,Food technologist,None,Catholic
19,Austin Divide,Katherine,Brennan,84,Head,Married,Female,"Retired Physicist, medical",None,Christian
19,Austin Divide,Connor,Brennan,85,Husband,Married,Male,Retired Barista,None,None
20,Austin Divide,Rebecca,Gill,81,Head,Widowed,Female,"Retired Nurse, adult",None,Christian
21,Austin Divide,Angela,Woodward,68,Head,Married,Female,Retired Veterinary surgeon,None,Christian
21,Austin Divide,Tony,Woodward,66,Husband,Married,Male,Academic librarian,None,Christian
21,Austin Divide,Wendy,Woodward,6,Granddaughter,NA,Female,Student,None,NA
22,Austin Divide,Jayne,Andrews,31,Head,Single,Female,Arboriculturist,None,None
23,Austin Divide,Ryan,Evans,54,Head,Single,Male,Minerals surveyor,None,Christian
24,Austin Divide,Kayleigh,Thompson,29,Head,Single,Female,Unemployed,None,Christian
24,Austin Divide,Michael,Smith,31,Partner,Single,Male,"Buyer, industrial",None,Christian
24,Austin Divide,Lynne,Thompson,2,Daughter,NA,Female,Child,None,NA
24,Austin Divide,Trevor,Hall-Thompson,0,Son,NA,Male,Child,None,NA
25,Austin Divide,Benjamin,Mahmood,37,Head,Single,Male,Politician's assistant,None,None
25,Austin Divide,Victoria,Gill,33,Partner,Single,Female,"Programme researcher, broadcasting/film/video",None,None
26,Austin Divide,Alexandra,Weston,35,Head,Divorced,Female,Unemployed,None,Christian
26,Austin Divide,Jacob,Weston,12,Son,NA,Male,Student,None,NA
26,Austin Divide,Jason,Weston,9,Son,NA,Male,Student,None,NA
26,Austin Divide,Caroline,Weston,8,Daughter,NA,Female,Student,None,NA
27,Austin Divide,Hilary,Walker,44,Head,Single,Female,Archivist,None,Christian
28,Austin Divide,Claire,Jones,49,Head,Single,Female,"Engineer, energy",None,None
28,Austin Divide,Callum,Khan,51,Partner,Single,Male,Toxicologist,None,None
28,Austin Divide,Daniel,Jones,17,Son,NA,Male,Student,None,NA
29,Austin Divide,Jay,Thomas,31,Head,Single,Male,Unemployed,None,Methodist
29,Austin Divide,Louise,Edwards,27,Partner,Single,Female,Writer,None,Methodist
30,Austin Divide,Holly,Cole,35,Head,Married,Female,Psychiatric nurse,Blind,None
30,Austin Divide,Raymond,Cole,33,Husband,Married,Male,Financial manager,None,None
30,Austin Divide,Paige,Cole,3,Daughter,NA,Female,Child,None,NA
31,Austin Divide,Jenna,Wright,35,Head,Divorced,Female,Volunteer coordinator,None,Christian
31,Austin Divide,Tony,Wright,11,Son,NA,Male,Student,None,NA
32,Austin Divide,Gillian,Morris,58,Head,Single,Female,"Programme researcher, broadcasting/film/video",None,Catholic
33,Austin Divide,Ashley,Elliott,23,Head,Single,Male,Curator,None,None
34,Austin Divide,Karen,Osborne,59,Head,Single,Female,"Production assistant, radio",None,Christian
35,Austin Divide,Sandra,Faulkner,63,Head,Single,Female,Health visitor,None,Christian
36,Austin Divide,Lynda,Moore,71,Head,Married,Female,"Retired Education officer, environmental",None,Catholic
36,Austin Divide,Brian,Moore,74,Husband,Married,Male,Retired Editorial assistant,None,Catholic
37,Austin Divide,Bethan,Brown,49,Head,Married,Female,Sports coach,None,None
37,Austin Divide,Jeremy,Brown,49,Husband,Married,Male,Radio broadcast assistant,None,None
38,Austin Divide,Irene,King,30,Head,Single,Female,Museum/gallery conservator,None,None
38,Austin Divide,Sam,Young,32,Partner,Single,Male,Information officer,None,None
39,Austin Divide,Nathan,Jones,23,Head,Single,Male,Event organiser,None,None
40,Austin Divide,Elizabeth,Archer,28,Head,Single,Female,Unemployed,None,None
41,Austin Divide,James,Jones,77,Head,Widowed,Male,Retired Chartered loss adjuster,None,Methodist
42,Austin Divide,Maria,Adams,34,Head,Married,Female,Unemployed,None,None
42,Austin Divide,Owen,Adams,34,Husband,Married,Male,Medical illustrator,None,None
43,Austin Divide,Caroline,Hobbs,51,Head,Single,Female,Financial planner,None,Catholic
44,Austin Divide,Aaron,Saunders,29,Head,Single,Male,Energy engineer,None,Christian
45,Austin Divide,Victor,Read,28,Head,Single,Male,Senior tax professional/tax inspector,None,Catholic
46,Austin Divide,Ross,Kaur,56,Head,Single,Male,Unemployed,None,Christian
47,Austin Divide,Hollie,Walton,21,Head,Single,Female,University Student,None,Catholic
48,Austin Divide,Dorothy,Shaw,79,Head,Married,Female,Retired Retail banker,None,None
48,Austin Divide,Joseph,Shaw,80,Husband,Married,Male,Retired Commercial/residential surveyor,None,None
49,Austin Divide,Henry,Roberts,34,Head,Single,Male,"Surveyor, mining",None,Christian
50,Austin Divide,Tracey,Day,32,Head,Single,Female,Dispensing optician,None,None
51,Austin Divide,Suzanne,Harrison,19,Head,Single,Female,University Student,None,None
52,Austin Divide,Jenna,Burke,58,Head,Divorced,Female,Catering manager,None,Christian
52,Austin Divide,Anne,Burke,36,Daughter,Divorced,Female,Web designer,None,Christian
52,Austin Divide,Heather,Burke,31,Daughter,Single,Female,Careers information officer,None,Christian
53,Austin Divide,Amber,Green,72,Head,Widowed,Female,Unemployed,None,Christian
54,Austin Divide,Maurice,Murphy,48,Head,Married,Male,Nature conservation officer,None,None
54,Austin Divide,Natalie,Murphy,48,Wife,Married,Female,"Engineer, communications",None,None
54,Austin Divide,Kirsty,Murphy,12,Daughter,NA,Female,Student,None,NA
55,Austin Divide,Marion,Chapman,87,Head,Single,Female,"Retired Administrator, sports",None,None
56,Austin Divide,Nicola,Kerr,34,Head,Single,Female,Unemployed,None,Christian
56,Austin Divide,Darren,Kerr,10,Son,NA,Male,Student,None,NA
57,Austin Divide,Frank,Clayton,22,Head,Single,Male,University Student,None,Christian
58,Austin Divide,Joanne,Carter,71,Head,Single,Female,"Retired Programmer, applications",None,None
59,Austin Divide,Trevor,Lord,71,Head,Widowed,Male,Retired Chief Technology Officer,None,Catholic
60,Austin Divide,Christine,Stephenson,71,Head,Widowed,Female,Retired Retail banker,None,Methodist
61,Austin Divide,Andrew,Byrne,45,Head,Single,Male,Research scientist (medical),None,Catholic
62,Austin Divide,Grace,Thompson,42,Head,Married,Female,"Engineer, petroleum",None,None
62,Austin Divide,Craig,Thompson,42,Husband,Married,Male,Public relations account executive,None,None
62,Austin Divide,Jane,Thompson,4,Daughter,NA,Female,Child,None,NA
63,Austin Divide,Kenneth,Allen,67,Head,Married,Male,Architect,None,Catholic
63,Austin Divide,Frances,Allen,62,Wife,Married,Female,Print production planner,None,Catholic
64,Austin Divide,Brett,Rogers,38,Head,Single,Male,"Doctor, general practice",None,None
65,Austin Divide,Beverley,Lawrence,24,Head,Divorced,Female,"Biochemist, clinical",None,None
66,Austin Divide,Sally,Davies,34,Head,Married,Female,Applications developer,None,Christian
66,Austin Divide,Hugh,Davies,35,Husband,Married,Male,Unemployed,None,Christian
67,Austin Divide,Mitchell,Hicks,33,Head,Single,Male,Bonds trader,None,Catholic
68,Austin Divide,Adam,Pritchard,35,Head,Single,Male,"Psychologist, prison and probation services",None,Catholic
69,Austin Divide,Rachel,Taylor,82,Head,Widowed,Female,Retired Risk analyst,None,Christian
70,Austin Divide,Samantha,Johnston,45,Head,Divorced,Female,Associate Professor,None,None
71,Austin Divide,Joyce,Newton,82,Head,Widowed,Female,Retired Furniture designer,None,Christian
72,Austin Divide,Diana,Robertson,83,Head,Divorced,Female,Retired Company secretary,None,Christian
73,Austin Divide,Dawn,Williams,19,Head,Single,Female,University Student,None,None
74,Austin Divide,Abdul,Reid,88,Head,Widowed,Male,"Retired Accountant, chartered public finance",None,Christian
75,Austin Divide,Wayne,Williams,73,Head,Divorced,Male,"Retired Conservator, museum/gallery",None,Catholic
76,Austin Divide,Tracey,Taylor,34,Head,Single,Female,Chief Technology Officer,None,Catholic
76,Austin Divide,Graham,Pritchard,37,Partner,Single,Male,Glass blower/designer,None,Catholic
77,Austin Divide,Jennifer,Bailey,56,Head,Divorced,Female,Unemployed,None,Christian
77,Austin Divide,Paul,Graham-Bailey,15,Son,NA,Male,Student,None,NA
78,Austin Divide,Maria,Gould,80,Head,Divorced,Female,Retired Chiropractor,None,Christian
79,Austin Divide,Amanda,Banks,23,Head,Divorced,Female,Unemployed,None,None
79,Austin Divide,Shane,Hall,51,Lodger,Single,Male,Pension scheme manager,None,Christian
80,Austin Divide,Marian,Jones,19,Head,Single,Female,University Student,None,Quaker
81,Austin Divide,Jacqueline,Smart,25,Head,Single,Female,"Librarian, academic",None,None
81,Austin Divide,Jeffrey,Smart,2,Son,NA,Male,Child,None,NA
82,Austin Divide,Garry,Pratt,62,Head,Single,Male,"Designer, fashion/clothing",None,Catholic
82,Austin Divide,Angela,Bibi,1,Granddaughter,NA,Female,Child,None,NA
83,Austin Divide,Lynn,Price,34,Head,Single,Female,Health physicist,None,Catholic
84,Austin Divide,Victor,Glover,41,Head,Single,Male,"Social research officer, government",None,None
85,Austin Divide,Steven,Woodward,47,Head,Single,Male,"Surveyor, rural practice",None,Christian
85,Austin Divide,Beth,Fry,48,Partner,Single,Female,Data scientist,None,Christian
86,Austin Divide,Nigel,Knowles,28,Head,Single,Male,Tree surgeon,None,None
87,Austin Divide,Tracey,Jones,52,Head,Single,Female,Unemployed,None,Christian
87,Austin Divide,Michael,Ryan,52,None,Single,Male,Community development worker,None,Catholic
87,Austin Divide,Victoria,Fletcher,24,None,Single,Female,Television production assistant,None,Catholic
88,Austin Divide,Gavin,Thomas,80,Head,Married,Male,Retired Audiological scientist,None,Methodist
88,Austin Divide,Lauren,Thomas,77,Wife,Married,Female,Retired Press sub,None,Methodist
89,Austin Divide,John,Patel,47,Head,Married,Male,Unemployed,None,None
89,Austin Divide,Chelsea,Patel,42,Wife,Married,Female,Management consultant,None,None
89,Austin Divide,Damian,Patel,17,Son,NA,Male,Student,None,NA
90,Austin Divide,Rebecca,Martin,74,Head,Widowed,Female,Retired TEFL teacher,None,None
90,Austin Divide,Liam,Davis,6,Grandson,NA,Male,Student,None,NA
91,Austin Divide,Amber,Watson,82,Head,Married,Female,Retired Podiatrist,None,Catholic
91,Austin Divide,Joel,Watson,87,Husband,Married,Male,Retired Fisheries officer,None,Catholic
92,Austin Divide,Valerie,Page,66,Head,Widowed,Female,Media planner,None,Christian
93,Austin Divide,Christian,Taylor,40,Head,Single,Male,Nutritional therapist,None,None
94,Austin Divide,Tina,Doherty,63,Head,Married,Female,Ambulance person,None,None
94,Austin Divide,Simon,Doherty,60,Husband,Married,Male,Curator,None,None
94,Austin Divide,Kim,Doherty,33,Daughter,Divorced,Female,Unemployed,None,None
95,Austin Divide,Jamie,Miller,41,Head,Single,Male,Ceramics designer,None,Catholic
95,Austin Divide,Alexandra,Jones,41,Partner,Single,Female,Unemployed,None,Catholic
96,Austin Divide,Sarah,Cook,27,Head,Single,Female,Industrial/product designer,None,None
97,Austin Divide,Russell,Powell,25,Head,Single,Male,Product designer,None,Catholic
98,Austin Divide,Mandy,Griffiths,52,Head,Single,Female,Mental health nurse,None,Christian
99,Austin Divide,Kimberley,Baxter,69,Head,Widowed,Female,Retired Control and instrumentation engineer,None,Christian
100,Austin Divide,Martin,Brown,61,Head,Married,Male,Training and development officer,None,Methodist
100,Austin Divide,Abbie,Brown,61,Wife,Married,Female,Special effects artist,None,Methodist
100,Austin Divide,Mohammad,Brown,8,Grandson,NA,Male,Student,None,NA
101,Austin Divide,Shirley,Jackson,86,Head,Widowed,Female,Retired Press photographer,None,None
102,Austin Divide,Sian,Wood,44,Head,Single,Female,Senior tax professional/tax inspector,None,Catholic
103,Austin Divide,Sylvia,Watson,105,Head,Widowed,Female,Retired Counselling psychologist,None,Christian
104,Austin Divide,Nicole,Wood,71,Head,Married,Female,Retired Chief Strategy Officer,None,None
104,Austin Divide,Donald,Allen,71,Husband,Married,Male,Retired Physiotherapist,None,None
105,Austin Divide,Rosie,Andrews,69,Head,Widowed,Female,Retired Counselling psychologist,None,None
106,Austin Divide,Joyce,Edwards,36,Head,Single,Female,Unemployed,None,Christian
106,Austin Divide,Carly,Morgan,59,None,Single,Female,Dietitian,None,Catholic
107,Austin Divide,Jonathan,Woods,33,Head,Single,Male,Special effects artist,None,Christian
